84.5 252.4 163.2 118.4 36.9 11.7 13.3 19.6 53.9 52.8 29.2 30.3
NA 66.6 48.7 19 7.2 13 11.9 3.9 11.1 62.2 36.6 61.2
79.7 100.1 106.3 38.3 22.6 2.4 4 16.5 16.7 51.9 40.9 60.1
49.2 69 121 66.5 52.2 33.2 14.8 26.9 45 289.1 98.3 73.4
120.4 54 79.3 35.5 41.9 49.8 36.8 46.1 108.9 138.7 135.3 144.3
96.7 92.6 NA 85 93.2 25.7 10.7 7.9 31.3 46.8 5.3 38.4
48.8 45.1 74.5 31.8 6.6 20 5.5 23 11.7 50.8 40.1 53.3
154 82.9 101.4 47 16.2 0 1.2 13.1 27.2 24.6 127.9 136.1
126.2 101.3 112.7 88.4 29.5 6.4 2.4 2.4 33.7 53.1 53.1 97.3
111.6 96.5 135.5 51.4 28.5 6.5 27.3 8 24.5 36.8 56.8 67.6
84.5 103.7 93 56.6 21.3 1.1 7.2 8.4 27.5 67.1 78.2 95.1
128.2 135.7 38.6 50.4 35.3 3.7 0 14.9 19.8 60.4 67.5 143.5
117 131.1 110.9 13.6 0 9.5 0 1.2 5.3 75 101.5 97.7
138 191.1 118.3 82.9 41.6 6.1 3.7 0.4 41.9 34.2 64.3 87.4
147.6 138 148.7 60.7 14.8 12 4.7 20.3 33.3 47.3 29.3 127
143.8 80.9 103.8 72.9 19.3 13.4 9.7 21.5 33.2 86.2 88.4 96.4
24.8 181.1 131.9 86.8 11.7 9.9 28.3 10.6 31.7 101.8 106.9 90.2
79 69.1 143.6 51.6 29.4 2.3 1.3 8.6 9.5 45.9 43.9 128.7
49.8 102.5 88.6 54.9 15 13.4 17.6 23 35.7 70.9 71.6 135.3
63.5 81.6 146 34.6 6.2 0 3.2 3 9.5 52.5 50 132.6
134 77.7 117.2 84.5 2.6 17.1 13.3 13.7 28.4 83.2 92.5 142.8
71.7 74.2 107.8 43.2 18.9 0 12 8.2 12.6 111.6 72.3 128.8
109.6 111.8 101.9 61.4 15.5 17.6 1.8 13 47.1 216.3 38.3 120
125.7 105.6 122.7 115.8 25.4 7.1 18.8 11.5 39.3 49 93.7 126.4
117 108.1 132.7 59.5 18.8 7.7 1.7 3.6 41.1 64.2 62.2 150.5
146.7 169 192.6 93.1 19.4 0.8 11.5 2.9 24 76.7 115.3 182.4
159.2 108.6 78.6 117.8 12.2 8.7 11.3 7.8 33.5 62.4 113.6 152.5
87.8 175 98.1 49.2 30.3 16.6 15.1 21.8 12 98 110.8 130.4
130.2 117.7 116.7 46.3 30.4 5.1 11.3 6 33.1 47.3 68.6 132.6
153.4 121.3 110.6 94.8 NA NA 8.6 NA NA NA NA NA
NA NA NA NA NA NA NA NA 20.4 NA 23.9 NA
183 NA 175.1 70.9 46.7 0.7 1.5 1.2 14 59 68.8 98.3
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA 88.8 50.2 16.8 3.4 11.5 2.9 17.6 15.7 33.4 67 36.6
112 106.4 109.1 88.5 23.4 1.8 3.4 13 14.5 19.6 63.2 66.2
100.4 76.8 62.8 36.8 16.6 6 0 5.7 5.3 44.8 63.9 94.8
77.6 78.7 108.2 19.8 7.4 1.5 6.4 8.7 17.8 86.7 76.8 120.1
113.7 90.5 107.2 71.4 3.8 1 0 3.3 39.1 40.7 50.3 96.4
120.9 146.3 60.9 30.3 3.3 2.1 2.4 20.2 32.4 46 74.2 155.8
182.3 181.9 56.3 71.1 7.6 7 0 7.6 27.7 94.4 89.9 88.1
83.6 159.8 81.5 31.6 6.2 20.4 11.1 3.6 60.5 67.4 102 86.6
103.6 138.2 89.3 39.6 15 1.8 7.3 21.4 5.5 60.1 43 82.2
108.9 117.5 178.6 31.5 9.9 0.8 8.4 4.1 40.2 78.3 71.3 120.7
67.2 112.3 127.4 36.5 12.1 1.5 24.3 21.9 62.2 84.8 149.1 124.2
95.5 121.2 166.9 64.3 30.9 0 0.5 21 25.4 25.7 83.8 166.4
71.3 136.4 78.3 29.5 13.3 11 9.9 11.7 35.4 37.7 95.9 126.9
50.8 120.8 87.5 26.8 5.2 12 2.6 0.4 13.1 129.8 60 134.7
178.3 91 91.7 28.5 1.4 6.4 5.1 12.1 41.4 57.6 73.2 143.1
104 75.5 150.7 37.2 13.7 0 6.3 13.6 20.8 56.9 59.8 74.5
116 94.5 46.3 24.7 11 11.1 0 6.2 45.7 117.4 48.9 97.5
94.7 102.8 120.9 84.2 NA 1.8 7.6 23.3 39.1 48.4 129.1 133.2
142.9 151 84.1 26.9 0.7 3.1 19.4 6.9 7 68.7 49.8 122.4
205.7 271 139.2 79.1 11.5 0 9.8 3.8 79.9 73.4 55.7 140.7
108.4 133.6 75.8 126.7 29.5 28 0 2 37.1 58 61.8 184.5
160 133.7 85.9 49.6 11.1 5 3.7 32 38.7 58.3 38 131
161 99.5 179.7 64.1 32.1 NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA
